id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_usaha,satuan,tahun
114,32,JAWA BARAT,3207,KABUPATEN CIAMIS,52,UNIT,2017
115,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,78,UNIT,2017
116,32,JAWA BARAT,3209,KABUPATEN CIREBON,25,UNIT,2017
117,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,67,UNIT,2017
118,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,119,UNIT,2017
119,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,36,UNIT,2017
120,32,JAWA BARAT,3213,KABUPATEN SUBANG,159,UNIT,2017
121,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,117,UNIT,2017
122,32,JAWA BARAT,3215,KABUPATEN KARAWANG,570,UNIT,2017
123,32,JAWA BARAT,3216,KABUPATEN BEKASI,93,UNIT,2017
124,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,152,UNIT,2017
125,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,156,UNIT,2017
126,32,JAWA BARAT,3271,KOTA BOGOR,195,UNIT,2017
127,32,JAWA BARAT,3272,KOTA SUKABUMI,87,UNIT,2017
128,32,JAWA BARAT,3273,KOTA BANDUNG,756,UNIT,2017
129,32,JAWA BARAT,3274,KOTA CIREBON,147,UNIT,2017
130,32,JAWA BARAT,3275,KOTA BEKASI,235,UNIT,2017
131,32,JAWA BARAT,3276,KOTA DEPOK,381,UNIT,2017
132,32,JAWA BARAT,3277,KOTA CIMAHI,114,UNIT,2017
133,32,JAWA BARAT,3278,KOTA TASIKMALAYA,132,UNIT,2017
134,32,JAWA BARAT,3279,KOTA BANJAR,47,UNIT,2017
135,32,JAWA BARAT,3201,KABUPATEN BOGOR,0,UNIT,2018
136,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0,UNIT,2018
137,32,JAWA BARAT,3203,KABUPATEN CIANJUR,500,UNIT,2018
138,32,JAWA BARAT,3204,KABUPATEN BANDUNG,93,UNIT,2018
139,32,JAWA BARAT,3205,KABUPATEN GARUT,298,UNIT,2018
140,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,31,UNIT,2018
141,32,JAWA BARAT,3207,KABUPATEN CIAMIS,52,UNIT,2018
142,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,133,UNIT,2018
143,32,JAWA BARAT,3209,KABUPATEN CIREBON,255,UNIT,2018
144,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,103,UNIT,2018
